,posted,neighborhood,location,post title,number bedrooms,sqft,URL,price,distance_to_CMU,duration_CMU,bus_distance_CMU,distance_to_downtown,duration_downtown,bus_distance_downtown,lat,lon,Coordinates,nearest_restaurants,nearest_shuttle_stop
0,2020-02-07 21:53,(Regent Square),40.438929;-79.893329,"Polished Hardwood Floors, Nice Kitchen, Pet Friendly, Aug 1st",1.0,585.0,https://pittsburgh.craigslist.org/apa/d/polished-hardwood-floors-nice-kitchen/7059430101.html,953,4970.0,1234.0,354.0,10829.0,2563.0,354.0,40.438928999999995,-79.89332900000001,POINT (191167024.456982 -19809608.52025039),"[('El Burro', 4.441562156385951, 3.5), ('Istanbul Grille', 4.446559345249849, 4.5), ('Thai Cottage', 4.530658763071366, 4.0), ('Square Cafe', 4.579126397650752, 4.0), (""D's Six Pax & Dogz"", 4.7445315001447455, 4.0)]","('Fifth Avenue at South Aiken Avenue', 'B', 78.84929151978831)"
1,2020-02-07 21:52,(Strip District),40.440600;-79.995900,Short lease in an Amazing building near DT,2.0,1185.0,https://pittsburgh.craigslist.org/sub/d/pittsburgh-short-lease-in-an-amazing/7060657286.html,980,5270.0,1149.0,239.0,911.0,479.0,119.0,40.4406,-79.9959,POINT (192430405.8687304 -20104915.15672603),"[('Pita My Shawarma', 0.056950197610594624, 4.0), ('H J Heinz', 0.056950197610594624, 4.0), ('The Carlton', 0.6350152628483479, 4.0), ('The Commoner', 1.353320735725519, 4.0), (""Street Food's World"", 2.1859983810746626, 4.5)]","('Fifth Avenue at Wilkins Avenue', 'B', 5.668965109087639)"
2,2020-02-07 21:51," (Pittsburgh, PA)",40.400300;-79.933800,Bedroom $335 a month all included,,,https://pittsburgh.craigslist.org/roo/d/pittsburgh-bedroom-335-month-all/7064975001.html,335,19773.0,7826.0,4050.0,14369.0,4934.0,4047.0,40.4003,-79.9338,POINT (191642988.122595 -20009922.30190388),"[('Hamsah', 25.722440349831967, 5.0), ('Babylon Cuisine', 25.722440349831967, 4.5), (""Hough's"", 30.6216794274262, 4.0), ('Sushi Too', 33.98560358406377, 3.0), ('Yoshino', 34.0275012406592, 4.0)]","('Ronald Street @ Donegal Way\xa0', 'PTC', 19.917388276422027)"
3,2020-02-07 21:26,(Regent Square - Near Frick Park & Shops),40.440970;-79.893694,"Classic & Comfortable, Big Living Room, Balcony, Nice Location, Aug 1",1.0,,https://pittsburgh.craigslist.org/apa/d/pittsburgh-classic-comfortable-big/7068510349.html,935,4923.0,1319.0,511.0,10783.0,2648.0,511.0,40.44097,-79.893694,POINT (191172515.0719375 -19806290.59753383),"[('Istanbul Grille', 5.490508164711636, 4.5), ('Thai Cottage', 5.637306500825792, 4.0), ('El Burro', 5.638416379320249, 3.5), ('Frick Park Tavern', 5.880654426838989, 4.0), ('The Map Room Grill & Bar', 5.886820298088268, 3.5)]","('Fifth Avenue at South Aiken Avenue', 'B', 77.35721568745598)"
4,2020-02-07 19:43,(Regent Square - East Busway - Frick Park),40.440791;-79.893715,"Large Private Balcony, Spacious Interior, Local Culture, Aug 1st",1.0,708.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-large-private-balcony/7068152368.html,911,4847.0,1263.0,435.0,10707.0,2592.0,435.0,40.440791,-79.893715,POINT (191172680.6318334 -19806734.7847383),"[('Istanbul Grille', 5.36676337359129, 4.5), ('Thai Cottage', 5.515912944156364, 4.0), ('El Burro', 5.521268082220899, 3.5), ('Frick Park Tavern', 5.741992252948419, 4.0), ('The Map Room Grill & Bar', 5.765842485956034, 3.5)]","('Fifth Avenue at South Aiken Avenue', 'B', 77.285012108022)"
5,2020-02-07 21:18,(Regent Square - East Busway - Frick Park),40.438619;-79.886892,"Premium Studio, All Utilities Included, Classic Details, Aug 1st",,302.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-premium-studio-all-utilities/7068488725.html,794,5785.0,1580.0,337.0,12806.0,1903.0,281.0,40.438619,-79.886892,POINT (191088337.0716811 -19791679.93106863),"[(""Nancy's Revival"", 3.563182452527402, 4.5), ('Soul Food Connection', 5.862985147827453, 4.5), ('GoodFellas Restaurant & Tavern', 10.93900931877264, 4.5), (""Applebee's Grill + Bar"", 11.276108844568707, 3.0), ('Thai Terrace', 11.983571902513226, 4.5)]","('Fifth Avenue at South Aiken Avenue', 'B', 103.39808089253675)"
6,2020-02-07 18:47,(Regent Square - East Busway - Frick Park),40.438521;-79.886892,"All Utilities Included, Studio, Easy Bus Transit, Shops & Park, Aug 1",,247.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-all-utilities-included/7068087146.html,615,5796.0,1587.0,348.0,12795.0,1894.0,270.0,40.438521,-79.886892,POINT (191088287.3833204 -19791889.79931235),"[(""Nancy's Revival"", 3.6069787476450905, 4.5), ('Soul Food Connection', 5.893279291026042, 4.5), ('GoodFellas Restaurant & Tavern', 10.874025258522135, 4.5), (""Applebee's Grill + Bar"", 11.228093707439974, 3.0), ('Thai Terrace', 11.953292968568697, 4.5)]","('Fifth Avenue at South Aiken Avenue', 'B', 103.40230731363654)"
7,2020-02-07 21:13,(Regent Square - East Busway - Frick Park),40.425911;-79.880326,"Built-in Cabinets, Chandelier Lighting, Porch & Deck, Aug 1st",2.0,1087.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-built-in-cabinets-chandelier/7058142770.html,1112,8108.0,2167.0,1241.0,15609.0,2562.0,1017.0,40.425911,-79.880326,POINT (191001875.190092 -19799936.96961652),"[(""Emil's Lounge"", 8.350861807970935, 4.5), (""Ms. Jean's Southern Cuisine"", 11.660212273252327, 3.5), ('Fireside Caribbean Restaurant', 13.321434303587846, 3.5), ('Thai Terrace', 14.744872006505611, 4.5), ('Crabs R Us', 15.142642083847095, 3.5)]","('Fifth Avenue at South Aiken Avenue', 'B', 129.14109368289576)"
8,2020-02-07 21:11,(Squirrel Hill Pittsburgh),40.429265;-79.915237,Large Master Bedroom Bath Furnished close CMU/PITT All included,,500.0,https://pittsburgh.craigslist.org/roo/d/pittsburgh-large-master-bedroom-bath/7066530539.html,1260,4048.0,1421.0,838.0,9907.0,2750.0,838.0,40.429265,-79.915237,POINT (191430004.6884328 -19893766.2211188),"[('TGI Fridays', 12.415176428454814, 2.0), ('Rock Bottom Restaurant & Brewery', 13.23460597018431, 3.0), ('Yokoso Japanese Steakhouse', 13.631107919910256, 3.0), ('El Campesino', 13.908985312898473, 4.0), (""Dave & Buster's"", 13.971257630001888, 2.5)]","('Fifth Avenue at South Aiken Avenue', 'B', 13.955348643540525)"
9,2020-02-07 21:11,(Pittsburgh),40.428786;-79.914551,Large Bright furnished Student Bedroom ALL included Squirrel Hill,,250.0,https://pittsburgh.craigslist.org/roo/d/pittsburgh-large-bright-furnished/7054472451.html,720,4079.0,1486.0,869.0,9938.0,2815.0,869.0,40.428785999999995,-79.914551,POINT (191421358.625927 -19892803.46750379),"[('TGI Fridays', 12.626392461879977, 2.0), (""Dave & Buster's"", 12.913425542692568, 2.5), ('Rock Bottom Restaurant & Brewery', 13.05818509163313, 3.0), ('El Campesino', 13.792647374957106, 4.0), ('Yokoso Japanese Steakhouse', 13.95105813817463, 3.0)]","('Fifth Avenue at South Aiken Avenue', 'B', 13.493298096054922)"
10,2020-02-07 21:08,(BEAVER COUNTY),40.500000;-80.199600,***INVESTMENT*** PROPERTY MANAGEMENT,,,https://pittsburgh.craigslist.org/reo/d/coraopolis-investment-property/7067409329.html,0,,,,,,,40.5,-80.1996,POINT (195032559.4258616 -20583822.51708526),"[('Primanti Bros', 398.8943535072028, 3.5), (""Sunny Jim's Tavern"", 421.7941002999526, 3.5), ('Wild Rosemary', 434.32067870977534, 4.0), ('Sapporo Japanese Steakhouse', 435.07772583645357, 4.0), (""Rupe's Roadhouse"", 436.73330233420575, 4.0)]","('Shady Avenue at Fifth Avenue', 'BS', 545.8817449800134)"
11,2020-02-07 21:08,(BEAVER COUNTY),40.671800;-80.291700,***INVESTMENT*** PROPERTY MANAGEMENT,,,https://pittsburgh.craigslist.org/vac/d/monaca-investment-property-management/7066562309.html,0,57256.0,10292.0,3332.0,51405.0,8481.0,3332.0,40.6718,-80.2917,POINT (196313246.5285608 -20487141.48786626),"[('Primanti Bros', 785.9173670714845, 3.5), (""Sunny Jim's Tavern"", 801.893330522512, 3.5), (""Rupe's Roadhouse"", 816.5634414437511, 4.0), ('Sapporo Japanese Steakhouse', 821.8606592116229, 4.0), ('Wild Rosemary', 824.9646924622441, 4.0)]","('Shady Avenue at Fifth Avenue', 'BS', 930.3243900408896)"
17,2020-02-07 20:59,(Regent Square - Frick Park),40.443648;-79.891977,"Nice Apartment Above Storefront, Parking, Dishwasher, A/C, Aug 1st.",2.0,1034.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-nice-apartment-above/7069795222.html,1086,5350.0,1402.0,350.0,12681.0,1815.0,650.0,40.443647999999996,-79.891977,POINT (191152916.6148826 -19795592.6401145),"[('The Dream BBQ', 7.009818502528289, 4.5), ('Square Cafe', 9.181436380231775, 4.0), ('El Burro', 9.810804418685589, 3.5), ('Istanbul Grille', 10.001385008046906, 4.5), ('Thai Cottage', 10.00265752798392, 4.0)]","('Fifth Avenue at South Aiken Avenue', 'B', 83.81984766571776)"
18,2020-02-07 20:56,(Palm Coast),29.486100;-81.204500,Florida Vacation House Daytona Area,3.0,,https://pittsburgh.craigslist.org/vac/d/palm-coast-florida-vacation-house/7057050572.html,0,,,,,,,29.4861,-81.2045,POINT (201440300.4586698 -49301582.68010698),"[('Wild Rosemary', 9078.731233371995, 4.0), (""Claudio's Pizzeria & Ristorante"", 9094.018776822646, 4.5), (""Brick N' Mortar Kitchen & Catering"", 9106.972492106155, 4.5), ('Leogreta', 9107.836964714881, 4.0), ('Insurrection AleWorks', 9107.982720108204, 4.5)]","('Shady Avenue at Fifth Avenue', 'BS', 9191.092023045961)"
